"mouse","session","nnID","stim_pair","A","B","delay","delayB","delayA"
"2022-09-14","20-40-13","46","(('B', '-5'), ('N', '1'))","B_008510_semitone_-5","N_115960_semitone_1","20",20,0
"2022-09-14","20-40-13","46","(('B', '0'), ('H', '0'))","B_008510_semitone_0","H_079690_semitone_0","0",0,0
"2022-09-14","20-40-13","46","(('A', '-5'), ('I', '1'))","A_004130_semitone_-5","I_080560_semitone_1","20",20,0
"2022-09-14","20-40-13","46","(('B', '-4'), ('N', '0'))","B_008510_semitone_-4","N_115960_semitone_0","10",10,0
"2022-09-14","20-40-13","47","(('B', '-5'), ('H', '0'))","B_008510_semitone_-5","H_079690_semitone_0","-10",0,10
"2022-09-14","20-40-13","47","(('A', '-6'), ('I', '2'))","A_004130_semitone_-6","I_080560_semitone_2","20",20,0
"2022-09-14","20-40-13","47","(('A', '0'), ('I', '0'))","A_004130_semitone_0","I_080560_semitone_0","-10",0,10
"2022-09-14","20-40-13","47","(('A', '-4'), ('I', '0'))","A_004130_semitone_-4","I_080560_semitone_0","20",20,0
"2022-09-14","20-40-13","47","(('B', '-6'), ('H', '1'))","B_008510_semitone_-6","H_079690_semitone_1","-10",0,10
"2022-09-14","20-40-13","47","(('B', '0'), ('N', '0'))","B_008510_semitone_0","N_115960_semitone_0","20",20,0
"2022-09-14","20-40-13","47","(('B', '-6'), ('N', '2'))","B_008510_semitone_-6","N_115960_semitone_2","20",20,0
"2022-09-14","20-40-13","47","(('B', '-5'), ('N', '1'))","B_008510_semitone_-5","N_115960_semitone_1","0",0,0
"2022-09-14","20-40-13","47","(('B', '0'), ('H', '0'))","B_008510_semitone_0","H_079690_semitone_0","-20",0,20
"2022-09-14","20-40-13","47","(('A', '-5'), ('I', '1'))","A_004130_semitone_-5","I_080560_semitone_1","-10",0,10
"2022-09-14","20-40-13","47","(('B', '-4'), ('N', '0'))","B_008510_semitone_-4","N_115960_semitone_0","10",10,0
"2022-09-14","20-40-13","48","(('B', '-5'), ('H', '0'))","B_008510_semitone_-5","H_079690_semitone_0","-20",0,20
"2022-09-14","20-40-13","48","(('B', '-6'), ('H', '1'))","B_008510_semitone_-6","H_079690_semitone_1","10",10,0
"2022-09-14","20-40-13","48","(('B', '0'), ('N', '0'))","B_008510_semitone_0","N_115960_semitone_0","10",10,0
"2022-09-14","20-40-13","48","(('B', '-6'), ('N', '2'))","B_008510_semitone_-6","N_115960_semitone_2","10",10,0
"2022-09-14","20-40-13","48","(('B', '-5'), ('N', '1'))","B_008510_semitone_-5","N_115960_semitone_1","10",10,0
"2022-09-14","20-40-13","48","(('B', '0'), ('H', '0'))","B_008510_semitone_0","H_079690_semitone_0","-10",0,10
"2022-09-14","20-40-13","48","(('B', '-4'), ('N', '0'))","B_008510_semitone_-4","N_115960_semitone_0","10",10,0
"2022-09-22","16-22-06","49","(('A', '0'), ('O', '-6'))","O_092850_semitone_-6","A_001900_semitone_0","-10",0,10
"2022-09-22","16-22-06","49","(('K', '-5'), ('M', '1'))","M_084040_semitone_1","K_078100_semitone_-5","10",10,0
"2022-09-22","16-22-06","49","(('A', '1'), ('O', '-6'))","O_092850_semitone_-6","A_001900_semitone_1","-10",0,10
"2022-09-22","16-22-06","49","(('K', '-4'), ('M', '-1'))","M_084040_semitone_-1","K_078100_semitone_-4","-10",0,10
"2022-09-22","16-22-06","49","(('K', '-5'), ('M', '0'))","M_084040_semitone_0","K_078100_semitone_-5","0",0,0
"2022-09-22","17-36-17","49","(('A', '2'), ('O', '-6'))","A_001900_semitone_2","O_092850_semitone_-6","-20",0,20
"2022-09-22","17-36-17","49","(('A', '2'), ('O', '-5'))","A_001900_semitone_2","O_092850_semitone_-5","-20",0,20
"2022-09-22","17-36-17","49","(('K', '-6'), ('M', '1'))","M_084040_semitone_1","K_078100_semitone_-6","10",10,0
"2022-09-22","17-36-17","49","(('A', '0'), ('O', '0'))","A_001900_semitone_0","O_092850_semitone_0","-20",0,20
